maleID,maleID_Suse,seminal.vesicle,treatment,time.before.analysis.min,temperature,male.age,measurement.timepoint min,sperm.motility1,sperm.motility2,sperm.motility3,mean.sperm.motility
1,1,1,with seminal fluid,0,room temperature,2,0,22.11,8.2,12.01,14.10666667
1,1,1,with seminal fluid,0,room temperature,2,2,16.12,6.85,10.23,11.06666667
1,1,1,with seminal fluid,0,room temperature,2,4,14.21,6.74,9.37,10.10666667
1,1,1,with seminal fluid,0,room temperature,2,6,14,6.88,7.59,9.49
1,1,2,without seminal fluid,15,room temperature,2,0,8.06,7.95,6.69,7.566666667
1,1,2,without seminal fluid,15,room temperature,2,2,2.52,3.07,2.22,2.603333333
1,1,2,without seminal fluid,15,room temperature,2,4,2.36,3.19,2.6,2.716666667
1,1,2,without seminal fluid,15,room temperature,2,6,1.84,3.57,2.98,2.796666667
2,2,1,without seminal fluid,0,room temperature,2,0,7.88,7.05,8,7.643333333
2,2,1,without seminal fluid,0,room temperature,2,2,7.89,4.19,3.75,5.276666667
2,2,1,without seminal fluid,0,room temperature,2,4,4.7,2.34,2.64,3.226666667
2,2,1,without seminal fluid,0,room temperature,2,6,3.82,1.84,2.16,2.606666667
2,2,2,with seminal fluid,14,room temperature,2,0,15.65,12.03,14.79,14.15666667
2,2,2,with seminal fluid,14,room temperature,2,2,12.81,10.19,10.88,11.29333333
2,2,2,with seminal fluid,14,room temperature,2,4,11.9,9.81,9.53,10.41333333
2,2,2,with seminal fluid,14,room temperature,2,6,11.15,9.2,8.61,9.653333333
3,3,1,with seminal fluid,0,room temperature,2,0,5.45,6.72,5.98,6.05
3,3,1,with seminal fluid,0,room temperature,2,2,4.38,5.11,4.74,4.743333333
3,3,1,with seminal fluid,0,room temperature,2,4,2.04,2,1.82,1.953333333
3,3,1,with seminal fluid,0,room temperature,2,6,1.63,1.69,1.77,1.696666667
3,3,2,without seminal fluid,14,room temperature,2,0,4.64,3.03,4.84,4.17
3,3,2,without seminal fluid,14,room temperature,2,2,2.35,2.09,2.07,2.17
3,3,2,without seminal fluid,14,room temperature,2,4,2.12,1.69,1.55,1.786666667
3,3,2,without seminal fluid,14,room temperature,2,6,1.85,1.54,1.46,1.616666667
4,4,1,without seminal fluid,0,room temperature,2,0,8.83,7.98,6.86,7.89
4,4,1,without seminal fluid,0,room temperature,2,2,6.14,7.25,4.76,6.05
4,4,1,without seminal fluid,0,room temperature,2,4,5.81,6.09,4.66,5.52
4,4,1,without seminal fluid,0,room temperature,2,6,2.6,4.18,2.4,3.06
4,4,2,with seminal fluid,15,room temperature,2,0,8.79,7.41,5.35,7.183333333
4,4,2,with seminal fluid,15,room temperature,2,2,4.67,3.99,2.04,3.566666667
4,4,2,with seminal fluid,15,room temperature,2,4,2.48,2.27,1.83,2.193333333
4,4,2,with seminal fluid,15,room temperature,2,6,2,1.89,1.84,1.91
5,5,1,with seminal fluid,0,room temperature,2,0,11.44,9.8,12.74,11.32666667
5,5,1,with seminal fluid,0,room temperature,2,2,9.05,8.26,11.78,9.696666667
5,5,1,with seminal fluid,0,room temperature,2,4,7.45,7.6,10.96,8.67
5,5,1,with seminal fluid,0,room temperature,2,6,5.39,7.17,8.19,6.916666667
