flyID,batch_combination,sperm_donor_hatch,SF_donor_hatch,dissection_date,time_recording,sperm_age,seminal_fluid_age,treatment_combination,mean_motility_3frames,sperm_motility_frame1,sperm_motility_frame2,sperm_motility_frame3,sperm_motility_field_of_view,video_filename_old,video_recoded
1,"H,H",14.01.23,14.01.23,30.01.23,0,young sperm,young SF,young sperm with young SF,8.179033333,9.6795,6.8651,7.9925,5.3389,Fly1_0min,1
1,"H,H",14.01.23,14.01.23,30.01.23,2,young sperm,young SF,young sperm with young SF,6.746066667,8.3987,5.6747,6.1648,4.4019,Fly1_2min,2
1,"H,H",14.01.23,14.01.23,30.01.23,4,young sperm,young SF,young sperm with young SF,6.2026,7.806,5.7581,5.0437,4.0961,Fly1_4min,3
1,"H,H",14.01.23,14.01.23,30.01.23,6,young sperm,young SF,young sperm with young SF,5.95,7.3139,5.6324,4.9037,3.8298,Fly1_6min,4
2,"H,B",14.01.23,30.12.22,30.01.23,0,young sperm,old SF,young sperm with old SF,7.829166667,8.0761,9.3639,6.0475,4.5933,Fly2_0min,5
2,"H,B",14.01.23,30.12.22,30.01.23,2,young sperm,old SF,young sperm with old SF,7.047966667,7.4342,8.3869,5.3228,4.3681,Fly2_2min,6
2,"H,B",14.01.23,30.12.22,30.01.23,4,young sperm,old SF,young sperm with old SF,5.9737,6.9966,6.1981,4.7264,4.1165,Fly2_4min,7
2,"H,B",14.01.23,30.12.22,30.01.23,6,young sperm,old SF,young sperm with old SF,5.473266667,7.0257,5.3665,4.0276,3.919,Fly2_6min,8
3,"B,B",30.12.22,30.12.22,30.01.23,0,old sperm,old SF,old sperm with old SF,9.793533333,8.6886,11.486,9.206,7.6633,Fly3_0min,9
3,"B,B",30.12.22,30.12.22,30.01.23,2,old sperm,old SF,old sperm with old SF,7.748433333,7.164,7.2585,8.8228,6.927,Fly3_2min,10
3,"B,B",30.12.22,30.12.22,30.01.23,4,old sperm,old SF,old sperm with old SF,6.481166667,6.8606,4.4899,8.093,5.7336,Fly3_4min,11
3,"B,B",30.12.22,30.12.22,30.01.23,6,old sperm,old SF,old sperm with old SF,5.886666667,6.212,3.6943,7.7537,4.8742,Fly3_6min,12
4,"B,H",30.12.22,14.01.23,30.01.23,0,old sperm,young SF,old sperm with young SF,2.113,2.1991,2.0965,2.0434,1.8885,Fly4_0min,13
4,"B,H",30.12.22,14.01.23,30.01.23,2,old sperm,young SF,old sperm with young SF,1.935366667,1.9727,2.0256,1.8078,1.684,Fly4_2min,14
4,"B,H",30.12.22,14.01.23,30.01.23,4,old sperm,young SF,old sperm with young SF,2.125766667,2.2043,2.1926,1.9804,1.6769,Fly4_4min,15
4,"B,H",30.12.22,14.01.23,30.01.23,6,old sperm,young SF,old sperm with young SF,2.204633333,2.1296,2.2134,2.2709,1.7538,Fly4_6min,16
5,"H,H",14.01.23,14.01.23,30.01.23,0,young sperm,young SF,young sperm with young SF,8.703566667,11.0439,8.1548,6.912,4.4261,Fly5_0min,17
5,"H,H",14.01.23,14.01.23,30.01.23,2,young sperm,young SF,young sperm with young SF,8.3082,10.2761,8.0362,6.6123,4.0139,Fly5_2min,18
5,"H,H",14.01.23,14.01.23,30.01.23,4,young sperm,young SF,young sperm with young SF,7.722433333,9.0588,7.7429,6.3656,3.8515,Fly5_4min,19
5,"H,H",14.01.23,14.01.23,30.01.23,6,young sperm,young SF,young sperm with young SF,7.3927,8.4537,7.7538,5.9706,3.7149,Fly5_6min,20
6,"H,H",14.01.23,14.01.23,30.01.23,0,young sperm,young SF,young sperm with young SF,12.0352,13.6235,12.0214,10.4607,7.5867,Fly6_0min,21
6,"H,H",14.01.23,14.01.23,30.01.23,2,young sperm,young SF,young sperm with young SF,10.69,12.655,10.1288,9.2862,7.1049,Fly6_2min,22
6,"H,H",14.01.23,14.01.23,30.01.23,4,young sperm,young SF,young sperm with young SF,4.984666667,6.5404,2.9315,5.4821,4.2894,Fly6_4min,23
6,"H,H",14.01.23,14.01.23,30.01.23,6,young sperm,young SF,young sperm with young SF,3.224566667,4.6917,1.5474,3.4346,2.9216,Fly6_6min,24
7,"H,B",14.01.23,30.12.22,30.01.23,0,young sperm,old SF,young sperm with old SF,5.3983,6.8713,5.6017,3.7219,3.0766,Fly7_0min,25
7,"H,B",14.01.23,30.12.22,30.01.23,2,young sperm,old SF,young sperm with old SF,3.921966667,5.0381,4.1791,2.5487,2.3395,Fly7_2min,26
7,"H,B",14.01.23,30.12.22,30.01.23,4,young sperm,old SF,young sperm with old SF,3.7763,4.8556,4.0867,2.3866,2.0899,Fly7_4min,27
7,"H,B",14.01.23,30.12.22,30.01.23,6,young sperm,old SF,young sperm with old SF,3.448133333,4.5984,3.4145,2.3315,1.9454,Fly7_6min,28
8,"B,B",30.12.22,30.12.22,30.01.23,0,old sperm,old SF,old sperm with old SF,8.614466667,8.8018,9.5268,7.5148,5.2974,Fly8_0min,29
8,"B,B",30.12.22,30.12.22,30.01.23,2,old sperm,old SF,old sperm with old SF,6.787433333,6.8125,7.9506,5.5992,3.5816,Fly8_2min,30
8,"B,B",30.12.22,30.12.22,30.01.23,4,old sperm,old SF,old sperm with old SF,5.242666667,5.1796,6.4818,4.0666,2.6282,Fly8_4min,31
8,"B,B",30.12.22,30.12.22,30.01.23,6,old sperm,old SF,old sperm with old SF,2.862933333,2.1064,3.8996,2.5828,1.8636,Fly8_6min,32
9,"B,H",30.12.22,14.01.23,30.01.23,0,old sperm,young SF,old sperm with young SF,8.9085,9.2181,8.0399,9.4675,6.7872,Fly9_0min,33
9,"B,H",30.12.22,14.01.23,30.01.23,2,old sperm,young SF,old sperm with young SF,8.542,8.0432,7.5019,10.0809,7.1322,Fly9_2min,34
9,"B,H",30.12.22,14.01.23,30.01.23,4,old sperm,young SF,old sperm with young SF,7.602066667,7.5365,7.3552,7.9145,6.0784,Fly9_4min,35
9,"B,H",30.12.22,14.01.23,30.01.23,6,old sperm,young SF,old sperm with young SF,6.9038,6.9623,7.0013,6.7478,5.1324,Fly9_6min,36
10,"B,H",30.12.22,14.01.23,30.01.23,0,old sperm,young SF,old sperm with young SF,9.5323,9.2824,9.7752,9.5393,6.5741,Fly10_0min,37
10,"B,H",30.12.22,14.01.23,30.01.23,2,old sperm,young SF,old sperm with young SF,8.6924,8.517,8.7611,8.7991,5.6013,Fly10_2min,38
10,"B,H",30.12.22,14.01.23,30.01.23,4,old sperm,young SF,old sperm with young SF,8.173666667,7.7295,8.4424,8.3491,5.0666,Fly10_4min,39
10,"B,H",30.12.22,14.01.23,30.01.23,6,old sperm,young SF,old sperm with young SF,7.694333333,7.3769,8.0858,7.6203,4.6152,Fly10_6min,40
11,"B,B",30.12.22,30.12.22,30.01.23,0,old sperm,old SF,old sperm with old SF,6.766466667,7.1131,8.6994,4.4869,2.6028,Fly11_0min,41
11,"B,B",30.12.22,30.12.22,30.01.23,2,old sperm,old SF,old sperm with old SF,4.947666667,5.1759,6.7345,2.9326,2.265,Fly11_2min,42
11,"B,B",30.12.22,30.12.22,30.01.23,4,old sperm,old SF,old sperm with old SF,4.510333333,3.7363,7.1448,2.6499,2.0621,Fly11_4min,43
11,"B,B",30.12.22,30.12.22,30.01.23,6,old sperm,old SF,old sperm with old SF,3.835533333,3.0018,5.8149,2.6899,1.9338,Fly11_6min,44
12,"B,H",30.12.22,14.01.23,30.01.23,0,old sperm,young SF,old sperm with young SF,11.57253333,10.8624,14.2293,9.6259,9.8236,Fly12_0min,45
12,"B,H",30.12.22,14.01.23,30.01.23,2,old sperm,young SF,old sperm with young SF,8.0793,7.9223,8.6477,7.6679,7.2062,Fly12_2min,46
12,"B,H",30.12.22,14.01.23,30.01.23,4,old sperm,young SF,old sperm with young SF,6.910566667,6.8955,7.6475,6.1887,5.9283,Fly12_4min,47
12,"B,H",30.12.22,14.01.23,30.01.23,6,old sperm,young SF,old sperm with young SF,4.871,4.5579,5.0945,4.9606,4.2439,Fly12_6min,48
13,"H,H",14.01.23,14.01.23,31.01.23,0,young sperm,young SF,young sperm with young SF,5.962566667,5.7718,8.2717,3.8442,2.3021,Fly13_0min,49
13,"H,H",14.01.23,14.01.23,31.01.23,2,young sperm,young SF,young sperm with young SF,5.1848,5.2756,7.4507,2.8281,2.0826,Fly13_2min,50
13,"H,H",14.01.23,14.01.23,31.01.23,4,young sperm,young SF,young sperm with young SF,5.052433333,5.0148,7.5876,2.5549,1.905,Fly13_4min,51
13,"H,H",14.01.23,14.01.23,31.01.23,6,young sperm,young SF,young sperm with young SF,4.402866667,4.513,6.9674,1.7282,1.7567,Fly13_6min,52
14,"H,B",14.01.23,30.12.22,31.01.23,0,young sperm,old SF,young sperm with old SF,9.239266667,10.0256,9.5193,8.1729,5.9219,Fly14_0min,53
