"male_ID","male_age","treatment","mean_SM","se_mean_SM","max_SM","min_SM"
"1","2","with seminal fluid",11.1925000025,1.02411513342074,14.10666667,9.49
"1","2","without seminal fluid",3.9208333335,1.2159247167539,7.566666667,2.603333333
"2","2","with seminal fluid",11.37916666575,0.98459841052125,14.15666667,9.653333333
"2","2","without seminal fluid",4.6883333335,1.13827232618585,7.643333333,2.606666667
"3","2","with seminal fluid",3.61083333325,1.06627976920653,6.05,1.696666667
"3","2","without seminal fluid",2.4358333335,0.589523308614602,4.17,1.616666667
"4","2","with seminal fluid",3.71333333325,1.21191385216471,7.183333333,1.91
"4","2","without seminal fluid",5.63,0.995866456910765,7.89,3.06
"5","2","with seminal fluid",9.152500001,0.924431131983641,11.32666667,6.916666667
"5","2","without seminal fluid",4.55583333325,1.00440269233259,7.373333333,2.61
"7","2","with seminal fluid",6.81916666575,1.40317323856179,10.01333333,3.463333333
"7","2","without seminal fluid",2.43166666675,0.240795364108622,3.13,2.066666667
"9","5","with seminal fluid",10.82583333325,0.723258285009549,12.61,9.163333333
"9","5","without seminal fluid",1.835,0.26677949003465,2.57,1.383333333
"10","5","with seminal fluid",11.49333333425,1.3024997334442,14.46666667,8.626666667
"10","5","without seminal fluid",4.805,1.02982603708911,7.25,3.06
"11","5","with seminal fluid",10.22583333425,0.372273732366822,10.90666667,9.336666667
"11","5","without seminal fluid",9.24749999825,0.966126644297202,11.54333333,7.253333333
"12","5","with seminal fluid",7.572500001,0.968765323184906,10.21666667,6.07
"12","5","without seminal fluid",7.69749999925,1.94075986136746,13.10333333,4.156666667
"13","5","with seminal fluid",6.88416666575,1.1817026119546,10.17333333,4.853333333
"13","5","without seminal fluid",7.417500001,1.13157492338137,10.60666667,5.586666667
"14","5","with seminal fluid",10.7633333335,1.22802838057422,13.78,8.036666667
"14","5","without seminal fluid",10.69916666575,0.810928108412099,12.89333333,9.193333333
"16","9","with seminal fluid",10.9616666665,2.10777067571812,15.30333333,5.693333333
"16","9","without seminal fluid",6.22999999975,1.12401067612763,8.963333333,3.983333333
"17","9","with seminal fluid",8.36583333425,1.48371741355179,12.35666667,5.536666667
"17","9","without seminal fluid",10.29416666575,1.35034932036257,14.01,7.95
"18","9","with seminal fluid",13.2083333325,0.863332796181193,15.50333333,11.35
"18","9","without seminal fluid",3.62416666675,0.652305561962046,5.243333333,2.426666667
"19","9","with seminal fluid",13.1025,0.561969708774085,14.38666667,11.70666667
"19","9","without seminal fluid",9.68583333325,1.06478338458891,12.53333333,7.75
"20","9","with seminal fluid",11.29833333175,0.610768338271179,12.87,9.986666667
"20","9","without seminal fluid",3.4966666665,0.6268129261262,5.313333333,2.603333333
"21","9","with seminal fluid",10.77333333425,1.14745047566147,13.62666667,8.58
"21","9","without seminal fluid",8.9258333325,0.963548009916754,11.20333333,6.673333333
"23","12","with seminal fluid",2.1441666665,0.471039777783917,3.343333333,1.283333333
"23","12","without seminal fluid",11.68499999925,1.57316412581739,15.89333333,8.626666667
"24","12","with seminal fluid",9.86750000075,0.846750187454599,12,8.013333333
"24","12","without seminal fluid",9.03833333225,0.77771567155945,10.79333333,7.213333333
"25","12","with seminal fluid",9.8550000015,1.71448107996452,13.96666667,5.913333333
"25","12","without seminal fluid",8.3333333335,1.58140057470761,11.10666667,4.516666667
"26","12","with seminal fluid",12.626666665,0.641844852858337,14.38,11.46
"26","12","without seminal fluid",10.314166665,0.995944902253076,12.82333333,8.303333333
"27","12","with seminal fluid",15.3425,0.50431724002009,16.65333333,14.37
"27","12","without seminal fluid",10.44916666575,0.80137656392682,12.20333333,8.57
"28","12","with seminal fluid",13.9099999975,0.99972218296996,15.78333333,11.53
"28","12","without seminal fluid",4.0391666665,0.818410128743359,6.463333333,2.883333333
"29","12","with seminal fluid",9.77916666575,1.57178736053667,14.37333333,7.4
"29","12","without seminal fluid",9.5258333325,1.28002269503104,13.16333333,7.436666667
